,person_id,district_nbr,LEA,school_name,school_nbr,cert_endo_degree_desc,endo_receive_date,,,
,23062.044,1,Alpine District,Lehi High,708,Computer Science - Level 2,6/30/1986,,,
,25022.66,9,Emery District,Emery High,706,Computer Science - Level 2,6/30/1986,,,
,25274.802,12,Granite District,Granite District,12,Computer Science - Level 2,6/30/1986,,,
,26893.786,42,Canyons District,Hillcrest High,706,Computer Science - Level 2,6/30/1986,,,
,26954.388,14,Jordan District,Copper Hills High,703,Computer Science - Level 2,6/30/1986,,,
,27184.55,14,Jordan District,Copper Hills High,703,Computer Science - Level 2,6/30/1986,,,
,30425.03,38,Provo District,Centennial Middle,404,Computer Science - Level 2,6/30/1986,,,
,28314.008,25,San Juan District,Monticello High,704,Computer Science - Level 2,9/30/1986,,,
,24775.542,7,Davis District,Woods Cross High,714,Computer Science - Level 2,10/30/1986,,,
,26765.046,14,Jordan District,Copper Hills High,703,Computer Science - Level 2,10/30/1986,,,
,4734.178,38,Provo District,Timpview High,712,Computer Science - Level 2,1/30/1987,,,
,20394.928,4,Cache District,North Cache Middle School,406,Computer Science - Level 2,1/30/1987,,,
,25355.5,FR,Rowland Hall-St Mark's Schools,Rowland Hall-St Mark's (Sec),969,Computer Science - Level 2,1/30/1987,,481,Current Educators with assignment that hold an IT endorsement
,28787.206,32,Wasatch District,Wasatch High,704,Computer Science - Level 2,1/30/1987,,78,Different LEAs 
,28647.79,31,Uintah District,Uintah High,704,Computer Science - Level 2,3/30/1987,,261,Different Schools
,1065.402,9F,Mountain Heights Academy,Mountain Heights Academy,600,Computer Science - Level 2,6/30/1987,,,
,28437.096,27,South Sanpete District,South Sanpete District,27,Computer Science - Level 2,6/30/1987,,,
,24070.926,7,Davis District,Viewmont High,712,Computer Science - Level 2,7/30/1987,,,
,7286.37,14,Jordan District,West Jordan Middle,412,Computer Science - Level 2,8/30/1987,,,
,9112.908,28,South Summit District,Silver Summit Academy,705,Computer Science - Level 2,8/30/1987,,,
,9112.908,28,South Summit District,South Summit High,704,Computer Science - Level 2,8/30/1987,,,
,19706.012,14,Jordan District,Copper Hills High,703,Computer Science - Level 2,8/30/1987,,459,Current Educators with an SB93 Endorsement
,27695.114,17,Millard District,Delta High,704,Computer Science - Level 2,8/30/1987,,63,Different LEAs including an SB93 Endorsement 
,28346.036,26,Sevier District,South Sevier Middle,320,Computer Science - Level 2,8/30/1987,,84,Different Schools with an SB93 Endorsement
,23048.856,1,Alpine District,Orem Jr High,414,Computer Science - Level 2,10/30/1987,,,
,29688.386,4F,Salt Lake Center for Science Education,Salt Lake Center for Science Education,300,Computer Science - Level 2,10/30/1987,,,
,25925.724,12,Granite District,Taylorsville High,722,Computer Science - Level 2,11/30/1987,,,
,18102.728,14,Jordan District,Copper Mountain Middle,419,Computer Science - Level 2,1/30/1988,,124,Current Educators Since 2016
,18336.03,3,Box Elder District,Bear River High,704,Computer Science - Level 2,2/28/1988,,38,Different LEAs Since 2016
,18336.03,3,Box Elder District,Bear River Middle,404,Computer Science - Level 2,2/28/1988,,56,Different Schools Since 2016
,22897.194,1,Alpine District,Oak Canyon Jr High,412,Computer Science - Level 2,2/28/1988,,,
,29292.432,99,USBE,USBE,99,Computer Programming,5/30/1988,,,
,23587.366,3,Box Elder District,Bear River High,704,Computer Science - Level 2,7/30/1988,,,
,29319.75,35,Weber District,Weber District,35,Computer Science - Level 2,7/30/1988,,,
,10775.538,3F,Venture Academy,Venture Academy,100,Computer Science - Level 2,8/30/1988,,,
,28278.84,25,San Juan District,Monticello High,704,Computer Science - Level 2,8/30/1988,,,
,9480.288,7,Davis District,Viewmont High,712,Computer Science - Level 2,9/30/1988,,,
,22831.568,1,Alpine District,Lehi Jr High,408,Computer Science - Level 2,9/30/1988,,,
,22831.568,1,Alpine District,Skyridge High School,785,Computer Science - Level 2,9/30/1988,,,
,25183.428,12,Granite District,Olympus High,716,Computer Science - Level 2,9/30/1988,,,
,28896.478,33,Washington District,Washington District,33,Computer Science - Level 2,9/30/1988,,,
,23561.618,3,Box Elder District,Bear River High,704,Computer Science - Level 2,11/30/1988,,,
,25575.3,12,Granite District,Granite District,12,Computer Science - Level 2,11/30/1988,,,
,27820.4,19,Nebo District,Salem Hills High,706,Computer Science - Level 2,1/30/1989,,,
,28279.154,25,San Juan District,Monticello High,704,Computer Science - Level 2,4/30/1989,,,
,30685.65,40,Murray District,Riverview Jr High,412,Computer Science - Level 2,5/30/1989,,,
,24773.658,7,Davis District,Davis District,7,Computer Science - Level 2,7/30/1989,,,
,21432.698,99,USBE,USBE,99,Computer Science - Level 2,8/30/1989,,,
,23700.092,4,Cache District,Green Canyon High School,703,Computer Science - Level 2,8/30/1989,,,
,23816.272,4,Cache District,Sky View High,706,Computer Science - Level 2,8/30/1989,,,
,24012.522,7,Davis District,Northridge High,711,Computer Science - Level 2,8/30/1989,,,
,29392.284,35,Weber District,Roy High,708,Computer Science - Level 2,8/30/1989,,,
,21691.12,3,Box Elder District,Young Intermediate,308,Computer Science - Level 2,9/30/1989,,,
,22917.604,1,Alpine District,East Shore Online,790,Computer Science - Level 2,9/30/1989,,,
,29452.258,7,Davis District,Northridge High,711,Computer Science - Level 2,9/30/1989,,,
,24471.276,7,Davis District,Davis District,7,Computer Science - Level 2,10/30/1989,,,
,28754.55,34,Wayne District,Wayne High,704,Computer Science - Level 2,1/30/1990,,,
,23785.186,4,Cache District,Ridgeline High School,705,Computer Science - Level 2,8/30/1990,,,
,23500.074,3,Box Elder District,Bear River High,704,Computer Science - Level 2,9/30/1990,,,
,27405.606,14,Jordan District,West Jordan High,718,Computer Science - Level 2,9/30/1990,,,
,23587.366,3,Box Elder District,Bear River High,704,Computer Programming,10/30/1990,,,
,7059.662,20,North Sanpete District,Fairview School,104,Computer Science - Level 2,10/30/1990,,,
,24323.696,7,Davis District,Layton High,710,Computer Science - Level 2,10/30/1990,,,
,27777.382,19,Nebo District,Payson High,704,Computer Science - Level 2,10/30/1990,,,
,30568.842,39,Logan City District,Logan High,704,Computer Science - Level 2,10/30/1990,,,
,4620.51,12,Granite District,Evergreen Jr High,412,Computer Science - Level 2,1/30/1991,,,
,27276.552,14,Jordan District,Herriman High,707,Computer Science - Level 2,3/30/1991,,,
,23808.108,4,Cache District,Ridgeline High School,705,Computer Science - Level 2,4/30/1991,,,
,27231.964,4D,Syracuse Arts Academy,Syracuse Arts Academy - Antelope,100,Computer Science - Level 2,5/30/1991,,,
,12823.76,1B,Utah County Academy of Science,Utah County Academy of Science,700,Computer Science - Level 2,6/30/1991,,,
,23700.092,4,Cache District,Green Canyon High School,703,Computer Programming,9/30/1991,,,
,23998.392,7,Davis District,Layton High,710,Computer Science - Level 2,9/30/1991,,,
,23998.392,7,Davis District,North Davis Jr High,412,Computer Science - Level 2,9/30/1991,,,
