school_year,district_id,school_id,school_number,core_code,individual school course_section,grade_level,Student Enrollment
2015,122,170,406,35020000007,C607201,9,32
2015,122,171,408,35020000007,C60720316,9,37
2015,122,171,408,35020000007,C60720318,9,32
2015,122,171,408,35020000007,C60720325,9,27
2015,122,171,408,35020000007,C60720326,9,35
2015,122,171,408,35020000007,C60720327,9,33
2015,122,172,410,35020000007,C60720113,9,34
2015,122,172,410,35020000007,C60720183,9,31
2015,122,172,410,35020000007,C60720233,9,40
2015,122,65563,420,35020000007,C60720157,9,38
2015,122,65563,420,35020000007,C60720177,9,37
2015,122,65563,420,35020000007,C60720257,9,31
2015,122,65563,420,35020000007,C60720287,9,34
2015,279,293,704,35020000007,21221,9,16
2015,279,293,704,35020000007,21222,9,17
2015,279,293,704,35020000030,87021,9,7
2015,422,434,704,32020000216,852271,9,3
2015,422,437,714,32020000150,85851,9,2
2015,422,437,714,32020000150,85855,9,1
2015,422,437,714,35020000007,85401,9,1
2015,422,437,714,35020000007,854010,9,7
2015,422,437,714,35020000007,85402,9,5
2015,456,466,712,35020000007,35020071,9,22
2015,468,473,704,35020000060,82011,9,3
2015,480,559,416,35020000007,64200114,9,36
2015,480,559,416,35020000007,64200118,9,41
2015,480,559,416,35020000007,64200129,9,36
2015,480,603,714,35020000007,64200116,9,20
2015,635,649,704,35020000030,CTSEG030S1,9,1
2015,653,720,409,35020000007,9180101,9,23
2015,653,175615,416,35020000007,9180101,9,41
2015,653,175615,416,35020000007,9180102,9,34
2015,653,175616,417,35020000007,9180102,9,38
2015,765,770,704,35020000007,HS700051,9,3
2015,765,770,704,35020000007,HS700051002,9,4
2015,783,790,704,32020000216,852116,9,1
2015,783,790,704,35020000060,85965,9,5
2015,795,799,704,35020000007,12481,9,2
2015,800,186160,416,35020000007,873421,9,25
2015,849,854,704,32020000150,230911,9,1
2015,849,854,704,32020000150,2309113,9,3
2015,856,861,304,35020000030,C3511071,9,24
2015,880,893,706,32020000150,85421,9,2
2015,880,893,706,35020000007,80021,9,1
2015,880,893,706,35020000007,80023,9,22
2015,921,929,708,32020000150,80351,9,11
2015,921,929,708,32020000150,80352,9,8
2015,921,929,708,32020000150,80353,9,5
2015,921,929,708,32020000150,80354,9,3
2015,930,937,704,32020000216,80210110,9,10
2015,947,965,712,35020000007,85381,9,6
2015,947,185832,720,35020000007,85381,9,10
2015,947,185832,720,35020000007,85382,9,24
2015,992,1000,704,35020000007,85511,9,8
2015,992,1000,704,35020000007,85512,9,9
2015,992,1000,704,35020000007,85513,9,7
2015,992,1000,704,35020000007,85514,9,10
2015,992,1000,704,35020000007,85515,9,9
2015,992,1000,704,35020000030,85541,9,6
2015,992,1000,704,35020000030,85542,9,2
2015,1002,185853,403,32020000150,855040301,9,1
2015,1002,185853,403,32020000150,855040303,9,1
2015,1107,1154,704,35020000007,652618001,9,16
2015,1107,1154,704,35020000007,652618002,9,10
2015,1107,1154,704,35020000007,652618003,9,13
2015,1107,1154,704,35020000007,652618004,9,8
2015,1107,1154,704,35020000007,652618005,9,11
2015,1107,1154,704,35020000030,652740001,9,5
2015,1107,1154,704,35020000030,652740002,9,3
2015,1107,1154,704,35020000030,652740003,9,8
2015,1107,1154,704,35020000060,652290001,9,12
2015,1107,1155,708,35020000007,652618001,9,15
2015,1107,1155,708,35020000007,652618002,9,22
2015,1107,1155,708,35020000007,6526180072,9,1
2015,1107,1155,708,35020000030,652740001,9,1
2015,1107,1155,708,35020000030,652740002,9,6
2015,1107,1155,708,35020000030,652740003,9,1
2015,1107,1157,716,35020000007,6526180010,9,2
2015,1107,1157,716,35020000007,652618002,9,1
2015,1107,1157,716,35020000007,652618008,9,1
2015,1107,1157,716,35020000007,652618009,9,2
2015,1107,1157,716,35020000030,652740001,9,15
2015,1107,1157,716,35020000030,652740002,9,10
2015,1107,1157,716,35020000030,652740003,9,13
2015,1107,186280,748,35020000007,6526180071,9,1
2015,1107,186280,748,35020000007,6526180072,9,5
2015,1107,186280,748,35020000030,652740001,9,3
2015,1107,186280,748,35020000030,652740002,9,5
2015,1107,186280,748,35020000030,652740003,9,4
2015,1222,1248,704,35020000030,7024001,9,3
2015,1222,1248,704,35020000030,7024002,9,1
2015,1222,1248,704,35020000030,7024003,9,1
2015,1222,1248,704,35020000030,7024004,9,5
2015,1222,1248,704,35020000030,7024011,9,1
2015,1222,1248,704,35020000030,7024012,9,2
2015,1222,1248,704,35020000030,7024013,9,2
2015,1222,1248,704,35020000030,7024015,9,4
2015,1222,1249,712,35020000007,7123251,9,32
2015,1222,1249,712,35020000007,7123252,9,30
2015,1222,1249,712,35020000007,7123253,9,19
2015,1222,1249,712,35020000007,7123254,9,30
2015,1222,1249,712,35020000030,7123141,9,17
2015,1222,1249,712,35020000030,7123142,9,17
2015,1222,1249,712,35020000030,7123143,9,18
2015,1222,1249,712,35020000030,7123161,9,11
2015,1222,1249,712,35020000030,7123162,9,8
2015,1222,186139,510,32020000150,518130M,9,3
2015,1222,186139,510,32020000150,518130M2,9,3
2015,1222,186139,510,35020000030,512311M,9,13
2015,1222,186139,510,35020000030,512311M2,9,11
2015,1222,186139,510,35020000030,512312K121,9,1
2015,1222,186139,510,35020000030,518100M,9,1
