school_year,district_id,school_number,core_code,grade_level,Student enrollment
2015,165615,100,35020000007,9,20
2015,165615,100,35020000030,9,2
2015,185698,100,35020000030,9,4
2015,185698,100,35020000040,9,1
2015,185698,100,35020000045,9,7
2015,185700,100,35020000030,9,1
2015,185872,100,35020000007,9,27
2015,185872,100,35020000030,9,25
2015,185874,100,35020000030,9,9
2015,165615,100,35020000007,10,6
2015,165615,100,35020000030,10,7
2015,185698,100,35020000030,10,6
2015,185698,100,35020000040,10,3
2015,185698,100,35020000045,10,10
2015,185874,100,35020000030,10,11
2015,165615,100,35020000007,11,7
2015,165615,100,35020000030,11,2
2015,185698,100,35020000030,11,1
2015,185698,100,35020000040,11,3
2015,185698,100,35020000045,11,11
2015,185874,100,35020000030,11,1
2015,165615,100,35020000007,12,5
2015,165615,100,35020000030,12,3
2015,185698,100,35020000030,12,1
2015,185698,100,35020000040,12,1
2015,185698,100,35020000045,12,9
2015,185874,100,35020000030,12,3
2016,165615,100,35020000007,9,47
2016,165615,100,35020000030,9,1
2016,185688,100,35020000035,9,14
2016,185698,100,35020000030,9,1
2016,185698,100,35020000045,9,10
2016,185871,100,35020000030,9,8
2016,185871,100,35020000040,9,2
2016,185872,100,35020000007,9,50
2016,185874,100,35020000030,9,5
2016,165615,100,35020000007,10,3
2016,165615,100,35020000030,10,4
2016,185698,100,35020000030,10,2
2016,185698,100,35020000040,10,3
2016,185698,100,35020000045,10,17
2016,185871,100,35020000030,10,13
2016,185871,100,35020000040,10,8
2016,185874,100,35020000030,10,7
2016,165615,100,35020000007,11,1
2016,165615,100,35020000030,11,8
2016,185698,100,35020000030,11,2
2016,185698,100,35020000040,11,3
2016,185698,100,35020000045,11,6
2016,185871,100,35020000030,11,16
2016,185871,100,35020000040,11,7
2016,165615,100,35020000007,12,4
2016,165615,100,35020000030,12,9
2016,185698,100,35020000030,12,6
2016,185698,100,35020000040,12,3
2016,185698,100,35020000045,12,13
2016,185871,100,35020000030,12,11
2016,185871,100,35020000040,12,2
2016,185874,100,35020000030,12,4
2017,5492,100,35020000030,9,35
2017,165612,100,35020000007,9,29
2017,165615,100,35020000007,9,40
2017,185688,100,35020000003,9,1
2017,185698,100,35020000045,9,13
2017,185871,100,35020000007,9,168
2017,185871,100,35020000030,9,14
2017,185872,100,35020000003,9,1
2017,185872,100,35020000007,9,34
2017,185872,100,35020000045,9,31
2017,185874,100,35020000007,9,15
2017,185874,100,35020000041,9,8
2017,5492,100,35020000030,10,24
2017,165615,100,35020000007,10,6
2017,165615,100,35020000030,10,5
2017,185698,100,35020000030,10,3
2017,185698,100,35020000034,10,4
2017,185698,100,35020000040,10,2
2017,185698,100,35020000045,10,14
