person_id,district_nbr,LEA,school_name,school_nbr,cert_endo_degree_desc,endo_receive_date
2306.2044,1,Alpine District,Lehi High,708,Computer Science - Level 2,6/30/1986
2304.8856,1,Alpine District,Orem Jr High,414,Computer Science - Level 2,10/30/1987
2289.7194,1,Alpine District,Oak Canyon Jr High,412,Computer Science - Level 2,2/28/1988
2283.1568,1,Alpine District,Lehi Jr High,408,Computer Science - Level 2,9/30/1988
2283.1568,1,Alpine District,Skyridge High School,785,Computer Science - Level 2,9/30/1988
2291.7604,1,Alpine District,East Shore Online,790,Computer Science - Level 2,9/30/1989
95.8956,1,Alpine District,Mountain Ridge Jr High,410,Computer Science - Level 2,7/30/1992
1576.4684,1,Alpine District,Lone Peak High,709,Computer Science - Level 2,10/30/1992
2651.8556,1,Alpine District,Oak Canyon Jr High,412,Computer Science - Level 2,9/30/1993
2136.6444,1,Alpine District,Lehi High,708,Computer Science - Level 2,10/30/1994
2331.764,1,Alpine District,Lone Peak High,709,Computer Science - Level 2,7/30/1997
2328.1216,1,Alpine District,Pleasant Grove High,716,Computer Science - Level 2,10/30/1997
2136.6444,1,Alpine District,Lehi High,708,Computer Science - Level 2,7/16/1999
4560.4732,1,Alpine District,Pleasant Grove Jr High,416,Web Development,10/7/2008
4560.4732,1,Alpine District,Pleasant Grove Jr High,416,Web Development,10/7/2008
17767.2818,1,Alpine District,Mountain Ridge Jr High,410,Computer Science - Level 2,6/17/2010
2271.5074,1,Alpine District,Lakeridge Jr High,406,Exploring CS,3/28/2014
2283.1568,1,Alpine District,Lehi Jr High,408,Exploring CS,3/28/2014
2297.9148,1,Alpine District,Mountain Ridge Jr High,410,Exploring CS,3/28/2014
2283.1568,1,Alpine District,Skyridge High School,785,Exploring CS,3/28/2014
2271.5074,1,Alpine District,Lakeridge Jr High,406,Computer Science - Level 2,4/25/2014
4560.4732,1,Alpine District,Pleasant Grove Jr High,416,Computer Science - Level 2,4/25/2014
4560.4732,1,Alpine District,Pleasant Grove Jr High,416,Computer Science - Level 2,4/25/2014
18302.4006,1,Alpine District,Orem High,712,Computer Science - Level 2,5/21/2014
2339.4256,1,Alpine District,Timberline Middle,420,Exploring CS,3/10/2015
21315.0422,1,Alpine District,Pleasant Grove High,716,Exploring CS,4/15/2015
2319.8634,1,Alpine District,Summit High,730,Exploring CS,2/2/2016
15803.2432,1,Alpine District,Frontier Middle School,417,Exploring CS,2/10/2016
19208.9186,1,Alpine District,Polaris High School,782,Exploring CS,2/10/2016
17021.5946,1,Alpine District,Orem Jr High,414,Exploring CS,6/22/2016
